"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
" 54071 (2000 GQ146)",1.067,23.44,N,17.43,0.127,1.59,1988-10-03,0
" 54401 (2000 LM)",1.262,18.95,N,17.23,0.356,2.16,1989-10-28,0
" 54509 YORP (2000 PH5)",0.775,1.60,N,22.66,0.000573,1.24,2000-08-03,0
" 54660 (2000 UJ1)",1.062,46.69,N,17.93,0.0874,1.89,2000-10-19,0
" 54686 (2001 DU8)",1.169,33.21,N,16.62,0.433,2.38,1988-12-03,0
" 54690 (2001 EB)",1.212,35.36,N,17.50,0.414,2.05,1952-12-14,0
" 54789 (2001 MZ7)",1.266,24.46,N,15.08,0.294,2.29,1978-10-25,0
" 55408 (2001 TC2)",0.853,30.39,N,18.86,0.144,1.35,1979-11-13,0
" 55532 (2001 WG2)",0.546,38.55,N,16.13,0.339,3.04,1953-12-07,0
" 65674 (1988 SM)",1.092,10.95,N,18.27,0.133,2.24,1988-09-29,0
" 65679 (1989 UQ)",0.673,1.30,Y,19.62,0.014,1.16,1954-11-20,0
" 65690 (1991 DG)",0.909,11.14,Y,19.06,0.0402,1.95,1991-02-20,0
" 65706 (1992 NA)",1.066,9.63,N,16.57,0.063,3.73,1992-07-01,0
" 65717 (1993 BX3)",1.003,2.81,Y,20.87,0.0481,1.79,1992-10-03,0
" 65733 (1993 PC)",0.607,4.14,N,18.40,0.066,1.70,1992-10-01,0
" 65803 Didymos (1996 GT)",1.013,3.41,Y,18.11,0.0398,2.27,2022-10-01,0
" 65909 (1998 FH12)",0.502,3.56,Y,19.30,0.0126,1.68,1998-03-25,0
" 65996 (1998 MX5)",1.160,9.56,N,18.49,0.201,4.71,1993-07-14,0
" 66008 (1998 QH2)",0.909,61.00,N,15.99,0.0748,1.94,1996-06-23,0
" 66063 (1998 RO1)",0.277,22.69,N,18.15,0.0923,1.70,1996-09-12,0
" 66146 (1998 TU3)",0.407,5.41,N,14.37,0.0735,1.17,1982-12-04,0
" 66251 (1999 GJ2)",1.232,11.28,N,16.99,0.248,1.84,1984-10-12,0
" 66253 (1999 GT3)",0.216,19.50,N,18.40,0.193,2.45,1999-04-09,0
" 66272 (1999 JW6)",1.292,51.32,N,17.24,0.41,1.72,1999-05-13,0
" 66391 Moshup (1999 KW4)",0.200,38.88,Y,16.64,0.0145,1.08,1998-05-29,0
" 66400 (1999 LT7)",0.366,9.06,N,19.29,0.0593,1.35,1987-04-21,0
" 66407 (1999 LQ28)",1.055,21.77,N,18.93,0.0962,1.34,1982-07-27,0
" 66959 (1999 XO35)",1.102,20.62,N,16.94,0.275,3.97,1999-12-06,0
" 67367 (2000 LY27)",1.030,9.02,Y,17.08,0.0472,1.59,1976-05-27,0
" 67381 (2000 OL8)",0.604,10.67,Y,19.80,0.0177,2.04,2000-07-30,0
" 67399 (2000 PJ6)",0.851,14.69,N,18.40,0.0504,1.75,1951-09-09,0
" 68031 (2000 YK29)",1.199,15.17,N,18.13,0.231,1.55,1993-03-22,0
" 68063 (2000 YJ66)",1.266,5.72,N,15.56,0.274,3.40,1989-10-04,0
" 68216 (2001 CV26)",0.889,17.99,Y,16.61,0.0241,1.75,2001-02-01,0
" 68267 (2001 EA16)",0.865,38.83,N,17.04,0.0587,2.15,2001-03-04,0
" 68278 (2001 FC7)",1.272,2.62,N,18.50,0.264,1.60,1996-06-13,0
" 68346 (2001 KZ66)",0.879,16.70,Y,16.93,0.0386,2.14,1979-12-28,0
" 68347 (2001 KB67)",0.596,17.13,Y,19.92,0.0137,1.33,2001-05-30,0
" 68348 (2001 LO7)",0.343,25.37,N,14.26,0.385,3.97,1954-06-02,0
" 68350 (2001 MK3)",1.257,29.57,N,16.14,0.304,2.08,1955-02-13,0
" 68359 (2001 OZ13)",1.253,9.86,N,18.09,0.28,1.78,1995-02-04,0
" 68372 (2001 PM9)",0.945,8.11,Y,18.95,0.00376,2.29,2001-06-28,0
" 68548 (2001 XR31)",0.961,22.72,Y,16.57,0.0247,2.45,1994-04-06,0
" 68950 (2002 QF15)",0.693,25.15,Y,16.39,0.00746,1.42,1955-07-23,0
" 69230 Hermes (1937 UB)",0.622,6.07,Y,17.68,0.00431,2.69,1937-10-25,0
" 85182 (1991 AQ)",0.494,3.12,Y,17.14,0.0161,3.95,1991-01-14,0
" 85184 (1991 JG1)",1.121,33.88,N,18.41,0.148,1.63,1978-01-09,0
" 85236 (1993 KH)",0.850,12.81,Y,18.75,0.000862,1.62,1993-05-24,0
" 85275 (1994 LY)",1.055,17.71,N,16.51,0.0646,2.73,1994-06-05,0
" 85490 (1997 SE5)",1.279,2.58,N,14.81,0.275,6.25,1982-04-20,0
" 85585 Mjolnir (1998 FG2)",0.835,4.08,Y,21.64,0.0218,1.76,1998-03-21,0
" 85628 (1998 KV2)",1.065,13.03,N,17.28,0.144,2.12,1998-05-22,0
" 85640 (1998 OX4)",0.812,4.52,Y,21.14,0.00102,2.35,1998-07-26,0
" 85709 (1998 SG36)",1.091,24.83,N,15.93,0.125,2.20,1998-09-18,0
" 85713 (1998 SS49)",0.695,10.79,Y,15.77,0.0039,3.15,1998-09-29,0
" 85770 (1998 UP1)",0.653,33.18,N,20.72,0.0839,1.34,1990-10-12,0
" 85774 (1998 UT18)",0.942,13.59,Y,19.09,0.0363,1.86,1989-04-30,0
" 85804 (1998 WQ5)",1.111,27.66,N,15.35,0.373,2.33,1989-11-25,0
" 85818 (1998 XM4)",0.968,62.72,N,15.46,0.112,2.35,1993-05-24,0
" 85839 (1998 YO4)",1.243,9.32,N,16.63,0.242,2.06,1993-04-25,0
" 85867 (1999 BY9)",1.277,0.95,N,18.30,0.282,2.38,1995-09-19,0
" 85938 (1999 DJ4)",0.955,9.14,Y,18.73,0.023,2.75,1999-02-24,0
" 85953 (1999 FK21)",0.219,12.60,N,18.15,0.0712,1.26,1971-03-26,0
" 85989 (1999 JD6)",0.324,17.07,Y,17.07,0.0475,1.44,1990-06-22,0
" 85990 (1999 JV6)",0.695,5.36,Y,20.27,0.0316,1.32,1999-05-13,0
" 86039 (1999 NC43)",0.741,7.13,Y,15.97,0.0243,2.78,1999-06-11,0
" 86067 (1999 RM28)",1.229,30.55,N,16.46,0.365,2.40,1989-07-07,0
" 86324 (1999 WA2)",1.112,34.60,N,15.83,0.343,2.82,1999-11-16,0
" 86326 (1999 WK13)",1.176,34.31,N,17.42,0.28,2.51,1979-11-18,0
" 86450 (2000 CK33)",0.567,18.11,N,18.45,0.126,1.37,2000-01-25,0
" 86666 (2000 FL10)",0.838,29.01,N,16.92,0.0815,2.09,2000-03-30,0
" 86667 (2000 FO10)",0.348,14.29,N,17.54,0.134,1.37,1988-05-11,0
" 86819 (2000 GK137)",0.986,10.06,Y,17.47,0.0168,3.00,1994-04-03,0
" 86829 (2000 GR146)",0.622,14.37,N,15.82,0.203,2.30,1974-06-17,0
" 86878 (2000 HD24)",0.512,9.47,N,17.67,0.103,2.17,1983-05-12,0
" 87024 (2000 JS66)",0.970,14.43,N,18.73,0.098,1.42,1979-01-06,0
" 87025 (2000 JT66)",0.633,25.32,N,18.14,0.349,1.82,2000-05-07,0
" 87309 (2000 QP)",0.455,34.74,N,17.60,0.203,1.24,1975-07-08,0
" 87311 (2000 QJ1)",0.776,7.70,N,16.50,0.108,2.40,1982-08-16,0
" 87684 (2000 SY2)",0.307,19.22,Y,16.00,0.0466,1.41,1977-10-07,0
" 88188 (2000 XH44)",1.223,11.34,N,16.08,0.236,2.79,1991-12-07,0
" 88213 (2001 AF2)",0.386,17.81,N,19.48,0.172,1.52,2001-01-02,0
" 88254 (2001 FM129)",0.438,1.52,Y,17.77,0.01,1.93,1978-05-08,0
" 88263 (2001 KQ1)",1.190,38.79,N,15.69,0.375,3.00,1998-05-05,0
" 88264 (2001 KN20)",1.176,12.08,N,17.01,0.172,3.12,1998-10-29,0
" 88710 (2001 SL9)",0.775,21.90,N,17.64,0.196,1.35,1954-11-27,0
" 88959 (2001 TZ44)",0.752,53.83,Y,17.45,0.0491,2.69,2001-09-26,0
" 89136 (2001 US16)",1.013,1.91,Y,20.28,0.029,1.70,2001-10-18,0
" 89355 (2001 VS78)",1.235,22.66,N,15.80,0.445,2.34,1978-06-23,0
" 89830 (2002 CE)",1.024,43.65,Y,15.01,0.0284,3.13,1982-05-25,0
" 89958 (2002 LY45)",0.186,9.91,Y,17.21,0.000553,3.10,2000-06-14,0
" 89959 (2002 NT7)",0.818,42.36,Y,16.57,0.000874,2.65,1954-07-10,0
" 90075 (2002 VU94)",0.907,8.91,Y,15.37,0.0281,3.37,1955-10-25,0
" 90147 (2002 YK14)",0.985,28.00,N,18.31,0.188,1.96,1987-01-29,0
" 90367 (2003 LC5)",0.663,16.88,N,17.92,0.152,1.65,1983-07-01,0
" 90373 (2003 SZ219)",1.294,9.87,N,18.81,0.317,1.96,1998-02-23,0
" 90403 (2003 YE45)",0.889,19.01,Y,17.78,0.0358,1.58,1989-09-12,0
" 90416 (2003 YK118)",0.860,7.83,Y,18.86,0.00216,2.53,1993-08-13,0
" 96189 Pygmalion (1991 NT3)",1.262,14.00,N,16.48,0.334,2.38,1986-03-19,0
" 96315 (1997 AP10)",0.514,6.65,N,17.05,0.11,2.37,1997-01-09,0
" 96536 (1998 SO10)",0.513,41.12,N,15.44,0.449,4.09,1976-11-24,0
" 96590 (1998 XB)",0.589,13.60,N,16.28,0.114,1.23,1992-01-01,0
" 96631 (1999 FP59)",1.258,1.77,N,18.18,0.248,2.14,1986-09-30,0
" 96744 (1999 OW3)",0.462,34.79,N,14.78,0.363,3.73,1999-07-18,0
" 97725 (2000 GB147)",1.243,18.19,N,18.75,0.285,2.35,2000-04-02,0
" 98943 Torifune (2001 CC21)",0.806,4.81,N,18.73,0.083,1.26,1982-11-10,0
" 99248 (2001 KY66)",0.920,10.61,Y,16.55,0.048,2.81,1991-06-08,0
" 99799 (2002 LJ3)",1.059,7.56,N,18.54,0.121,1.86,1989-01-10,0
" 99907 (1989 VA)",0.295,28.80,N,17.93,0.155,1.16,1989-11-02,0
" 99935 (2002 AV4)",0.588,12.77,N,16.14,0.168,2.72,1955-01-29,0
" 99942 Apophis (2004 MN4)",0.746,3.34,Y,19.09,0.000613,1.10,2004-03-15,0
"100004 (1983 VA)",0.770,15.70,N,16.49,0.174,4.41,1983-10-27,0
"100085 (1992 UY4)",1.010,2.64,Y,17.89,0.0249,4.29,1979-06-29,0
"100756 (1998 FM5)",1.009,11.58,N,16.34,0.0946,3.52,1988-04-20,0
"100926 (1998 MQ)",1.057,24.24,N,16.64,0.13,2.51,1979-12-19,0
"101869 (1999 MM)",0.632,4.77,Y,19.47,0.00129,2.62,1999-06-12,0
"101873 (1999 NC5)",1.231,45.78,N,16.43,0.439,2.83,1983-01-16,0
"101955 Bennu (1999 RQ36)",0.897,6.03,Y,20.21,0.00322,1.36,1999-09-11,0
"102873 (1999 WK11)",1.138,7.46,N,17.63,0.146,3.13,1980-09-30,0
"103067 (1999 XA143)",0.772,38.56,Y,16.83,0.0422,2.92,1994-12-02,0
"105140 (2000 NL10)",0.167,32.54,N,15.74,0.355,1.66,1952-09-17,0
"105141 (2000 NF11)",1.152,14.82,N,19.11,0.214,1.69,1978-08-27,0
"106538 (2000 WK63)",0.567,10.33,N,16.29,0.125,4.27,2000-11-26,0
"106589 (2000 WN107)",0.821,14.37,N,16.02,0.138,3.47,2000-11-20,0
"108519 (2001 LF)",1.169,16.40,N,17.95,0.162,2.04,1989-09-08,0
"108906 (2001 PL9)",0.790,20.93,N,17.90,0.191,1.68,2001-08-05,0
"111253 (2001 XU10)",0.983,42.02,Y,15.27,0.0287,2.52,2000-02-08,0
"112221 (2002 KH4)",1.265,58.70,N,15.53,0.257,3.28,1995-07-01,0
"112985 (2002 RS28)",1.127,46.99,N,15.80,0.414,3.31,1985-05-10,0
"115052 (2003 RD6)",1.137,31.32,N,17.46,0.396,2.20,1979-02-23,0
"136564 (1977 VA)",1.130,2.99,N,19.28,0.137,2.60,1977-10-11,0
"136582 (1992 BA)",1.250,10.50,N,19.88,0.276,1.43,1992-01-27,0
"136617 (1994 CC)",0.955,4.68,Y,17.97,0.0152,2.32,1988-09-14,0
"136618 (1994 CN2)",0.952,1.44,Y,16.86,0.0127,2.19,1994-02-15,0
"136635 (1994 VA1)",1.298,7.64,N,19.15,0.317,1.85,1994-11-05,0
"136745 (1995 WL8)",1.221,17.78,N,17.76,0.3,3.51,1995-10-25,0
"136770 (1996 PC1)",1.008,25.10,N,20.56,0.0892,2.67,1996-08-11,0
"136773 (1996 TR6)",1.299,22.10,N,18.62,0.38,1.87,1996-10-09,0
"136793 (1997 AQ18)",0.613,17.37,N,18.35,0.187,1.68,1997-01-15,0
"136795 Tatsunokingo (1997 BQ)",0.912,10.99,Y,18.11,0.0342,2.58,1997-01-16,0
"136818 Selqet (1997 MW1)",0.613,12.78,N,18.98,0.114,1.26,1997-06-29,0
"136839 (1997 WT22)",1.031,8.16,N,18.84,0.131,1.94,1988-12-13,0
"136849 (1998 CS1)",0.629,7.79,Y,17.72,0.0199,2.35,1998-02-09,0
"136874 (1998 FH74)",0.255,21.16,N,15.75,0.235,4.15,1995-05-04,0
"136897 (1998 HJ41)",1.193,38.88,N,18.57,0.264,1.53,1998-04-28,0
"136900 (1998 HL49)",0.635,10.98,N,17.39,0.0839,2.86,1998-04-30,0
"136923 (1998 JH2)",1.192,6.62,N,16.31,0.22,3.08,1986-11-02,0
"136993 (1998 ST49)",0.934,24.48,N,17.85,0.0548,3.68,1998-09-29,0
"137032 (1998 UO1)",0.377,25.49,N,16.67,0.0594,2.81,1992-10-20,0
"137044 (1998 UC50)",1.296,4.38,N,16.81,0.31,3.24,1998-10-29,0
"137052 Tjelvar (1998 VO33)",0.237,14.91,N,17.06,0.0683,2.26,1998-11-15,0
"137062 (1998 WM)",0.838,22.52,N,16.77,0.167,1.61,1987-10-16,0
"137064 (1998 WP5)",1.106,19.50,N,18.84,0.247,1.64,1998-11-19,0
"137078 (1998 XZ4)",0.702,23.15,N,16.42,0.299,3.17,1998-12-11,0
"137084 (1998 XS16)",0.610,26.56,N,16.48,0.405,1.81,1994-12-03,0
"137099 (1998 YW3)",0.591,28.79,N,18.29,0.388,1.61,1998-12-17,0
"137108 (1999 AN10)",0.639,39.93,Y,18.05,0.000509,2.28,1955-01-26,0
"137120 (1999 BJ8)",0.857,8.97,Y,18.30,0.0218,2.94,1999-01-14,0
"137125 (1999 CT3)",1.239,34.23,N,18.80,0.38,1.61,1999-02-10,0
"137126 (1999 CF9)",0.707,5.55,Y,18.14,0.0181,2.84,1999-01-15,0
"137158 (1999 FB)",0.464,12.90,N,17.92,0.197,1.90,1998-05-24,0
"137170 (1999 HF1)",0.440,25.66,N,14.67,0.172,1.20,1999-04-20,0
"137175 (1999 JA11)",0.831,16.43,N,18.34,0.105,1.69,1999-05-14,0
"137199 (1999 KX4)",1.031,16.57,N,16.95,0.192,1.88,1978-08-10,0
"137427 (1999 TF211)",0.948,39.49,Y,15.29,0.0257,3.93,1999-10-06,0
"137671 (1999 XP35)",1.170,21.10,N,18.73,0.195,1.70,1976-05-02,0
"137799 (1999 YB)",1.222,6.79,N,18.79,0.218,1.42,1991-03-20,0
"137802 (1999 YT)",1.151,31.58,N,17.02,0.437,2.40,1954-12-21,0
"137805 (1999 YK5)",0.366,16.75,N,16.73,0.113,1.29,1999-12-28,0
"137911 (2000 AB246)",1.167,3.76,N,17.73,0.167,3.44,2000-01-08,0
"137924 (2000 BD19)",0.092,25.74,N,17.50,0.0899,1.66,1997-02-10,0
"137925 (2000 BJ19)",0.305,31.11,N,16.07,0.39,2.28,1953-12-07,0
"138013 (2000 CN101)",0.584,15.98,N,14.72,0.109,2.61,1984-03-07,0
"138095 (2000 DK79)",1.040,60.69,Y,15.97,0.0493,2.51,1986-04-09,0
"138127 (2000 EE14)",0.309,26.46,Y,17.11,0.0219,1.01,2000-03-04,0
"138155 (2000 ES70)",1.231,25.45,N,17.22,0.431,2.39,1989-10-28,0
"138175 (2000 EE104)",0.710,5.24,Y,20.47,0.00828,1.30,2000-03-11,0
"138205 (2000 EZ148)",1.003,11.18,N,15.14,0.0941,4.17,1983-04-13,0
"138258 (2000 GD2)",0.396,32.14,N,18.98,0.0731,1.12,1998-03-29,0
"138325 (2000 GO82)",0.422,25.73,N,16.68,0.372,3.90,2000-04-03,0
"138359 (2000 GX127)",0.729,20.24,N,17.98,0.261,1.55,2000-04-10,0
"138404 (2000 HA24)",0.776,2.16,Y,19.40,0.0272,1.50,1982-07-20,0
"138524 (2000 OJ8)",1.019,6.25,Y,16.88,0.0287,3.70,2000-07-30,0
"138727 (2000 SU180)",0.831,11.92,Y,19.34,0.0335,3.38,2000-09-27,0
"138815 (2000 TQ64)",1.292,8.25,N,18.02,0.304,2.89,2000-10-07,1
"138846 (2000 VJ61)",0.950,18.69,N,16.09,0.179,3.41,1988-08-10,0
"138847 (2000 VE62)",1.153,22.18,N,17.07,0.158,2.09,1983-03-05,0
"138852 (2000 WN10)",0.703,21.52,N,20.31,0.125,1.30,2000-11-20,0
"138859 (2000 WN63)",0.737,13.16,N,18.98,0.14,2.41,2000-11-27,0
"138877 (2000 XG47)",0.978,25.32,N,16.78,0.103,3.30,2000-11-06,0
"138883 (2000 YL29)",1.008,21.89,N,16.84,0.139,2.06,1984-03-05,0
"138893 (2000 YH66)",0.301,18.36,N,18.17,0.165,2.05,2000-12-30,0
"138911 (2001 AE2)",1.239,1.66,N,19.44,0.235,1.46,1984-08-02,0
"138925 (2001 AU43)",1.183,72.15,N,15.96,0.213,2.61,1992-12-20,0
"138937 (2001 BK16)",0.668,31.81,N,17.83,0.0595,3.48,1998-01-27,0
"138947 (2001 BA40)",0.835,12.85,N,18.82,0.18,1.40,2001-01-23,0
"138971 (2001 CB21)",0.689,7.92,Y,18.52,0.0232,1.38,2001-02-02,0
"139047 (2001 EB16)",1.144,46.99,N,17.40,0.165,2.58,2001-02-21,0
"139056 (2001 FY)",1.267,4.73,N,19.18,0.274,2.50,2001-03-16,0
"139211 (2001 GN2)",1.020,26.05,Y,17.74,0.0276,2.70,1999-09-07,0
"139289 (2001 KR1)",0.200,23.26,N,17.75,0.177,2.32,2001-05-18,0
"139345 (2001 KA67)",0.538,22.28,N,16.74,0.263,3.07,2001-05-30,0
"139359 (2001 ME1)",0.342,5.96,Y,16.52,0.0134,4.93,2001-05-25,0
"139622 (2001 QQ142)",0.980,9.34,Y,18.46,0.0117,1.86,2001-08-22,0
"140039 (2001 SO73)",0.787,4.85,Y,18.08,0.0451,2.86,2001-09-19,0
"140158 (2001 SX169)",0.726,2.52,Y,18.48,0.026,1.97,2001-09-07,0
"140288 (2001 SN289)",0.877,53.19,Y,16.74,0.016,2.69,1996-08-14,0
"140333 (2001 TD2)",0.499,19.03,N,19.24,0.185,1.43,2001-10-10,0
"140928 (2001 VG75)",1.068,20.66,N,18.29,0.247,1.97,1976-03-07,0
"141018 (2001 WC47)",1.061,2.87,N,19.04,0.0797,1.74,1991-12-07,0
"141052 (2001 XR1)",0.560,17.67,N,17.47,0.103,1.93,1987-11-27,0
"141053 (2001 XT1)",0.643,2.73,Y,18.86,0.0412,2.41,2001-12-09,0
"141056 (2001 XV4)",1.010,28.89,N,17.32,0.148,2.62,2001-12-09,0
"141078 (2001 XQ30)",1.023,11.47,N,18.73,0.19,2.70,1997-06-03,0
"141079 (2001 XS30)",0.200,28.55,N,17.76,0.303,2.13,1998-11-16,0
"141354 (2002 AJ29)",1.093,10.93,N,17.37,0.0917,2.89,1988-06-16,0
"141424 (2002 CD)",0.807,6.88,N,20.65,0.0738,1.15,2002-02-01,1
"141432 (2002 CQ11)",0.559,2.47,Y,20.06,0.0194,1.39,2002-02-06,0
"141447 (2002 CW59)",1.189,31.95,N,17.13,0.204,3.59,2002-02-13,0
"141484 (2002 DB4)",0.541,16.60,N,16.31,0.152,1.17,2002-02-26,0
"141495 (2002 EZ11)",0.220,2.35,Y,18.47,0.000866,2.01,2002-02-24,0
"141498 (2002 EZ16)",0.399,30.14,N,18.49,0.177,1.44,1995-12-01,0
"141525 (2002 FV5)",0.299,34.04,Y,18.07,0.0343,1.87,2002-03-21,0
"141526 (2002 FA6)",0.687,30.10,N,20.20,0.315,1.34,2001-03-23,1
"141527 (2002 FG7)",0.565,9.20,Y,18.94,0.0416,2.46,1990-07-23,0
"141531 (2002 GB)",0.467,22.55,N,19.15,0.281,1.52,2002-04-01,0
"141593 (2002 HK12)",0.943,2.35,Y,18.32,0.0237,3.06,1985-06-11,0
"141614 (2002 JV15)",0.753,7.19,Y,19.52,0.0395,2.49,2002-04-26,0
"141670 (2002 JS100)",1.230,13.31,N,16.85,0.223,3.54,2002-05-11,0
"141761 (2002 MC)",1.265,18.91,N,17.44,0.267,3.89,2002-06-16,0
"141765 (2002 MP3)",1.062,33.07,N,16.31,0.393,2.94,1988-05-22,0
"141851 (2002 PM6)",0.180,19.13,Y,17.81,0.0384,2.22,2000-09-20,0
"141874 (2002 PO34)",1.195,10.99,N,17.83,0.279,2.47,2001-03-05,0
"142040 (2002 QE15)",1.093,28.25,N,16.26,0.116,2.24,1993-04-20,0
"142348 (2002 RX211)",1.120,6.07,N,18.33,0.147,3.01,1999-09-11,0
"142464 (2002 TC9)",1.043,16.28,N,18.37,0.0611,1.42,1991-09-14,0
"142555 (2002 TB58)",1.150,23.40,N,16.39,0.429,4.12,2002-09-05,0
"142561 (2002 TX68)",1.183,16.65,N,18.21,0.252,2.17,2002-10-08,0
"142563 (2002 TR69)",1.090,20.49,N,17.21,0.105,2.23,1997-01-31,0
"142781 (2002 UM11)",1.194,41.03,N,16.23,0.311,2.71,2001-06-23,0
"143381 (2003 BC21)",1.269,5.47,N,16.21,0.295,3.92,1982-04-13,0
"143404 (2003 BD44)",0.772,2.66,Y,16.95,0.0178,3.16,1981-02-28,0
"143409 (2003 BQ46)",1.266,8.16,N,17.91,0.286,2.63,2002-11-19,0
"143487 (2003 CR20)",0.573,4.99,Y,18.94,0.000297,3.67,1975-10-06,0
"143527 (2003 EN16)",1.076,17.31,N,18.66,0.191,2.25,2003-03-08,0
"143624 (2003 HM16)",0.831,35.54,Y,15.96,0.0499,3.10,2003-04-27,0
"143637 (2003 LP6)",0.203,43.57,N,16.58,0.34,3.29,2003-06-12,0
"143643 (2003 NP7)",1.270,11.15,N,18.31,0.279,3.09,2000-08-05,0
"143649 (2003 QQ47)",0.882,62.10,Y,17.39,0.00463,1.29,2003-08-24,0
"143651 (2003 QO104)",1.011,11.62,Y,16.09,0.00149,3.26,1981-07-10,0
"143678 (2003 SA224)",1.107,13.86,N,16.38,0.153,2.19,1979-10-09,0
"143947 (2003 YQ117)",0.754,21.03,N,15.37,0.103,3.61,2002-03-15,0
"143992 (2004 AF)",0.879,27.13,Y,16.16,0.0338,3.06,1985-01-21,0
"144332 (2004 DV24)",1.011,55.89,Y,16.61,0.00623,1.84,1955-04-24,0
"144411 (2004 EW9)",0.894,8.79,N,16.55,0.0898,2.94,2001-03-14,0
"144861 (2004 LA12)",0.630,39.40,N,15.43,0.356,4.39,2002-03-12,0
"144898 (2004 VD17)",0.620,4.22,Y,18.89,0.00139,2.40,2002-02-16,0
"144900 (2004 VG64)",0.333,36.25,Y,18.29,0.0279,1.60,2004-11-13,0
"144901 (2004 WG1)",0.784,13.04,N,17.53,0.0545,2.50,2004-09-22,0
"144922 (2005 CK38)",1.253,8.23,N,17.35,0.261,3.01,1977-03-15,0
"145656 (4788 P-L)",1.175,11.09,N,16.44,0.258,4.11,1960-09-24,0
"152558 (1990 SA)",1.125,38.14,N,16.86,0.309,2.90,1990-09-14,0
"152560 (1991 BN)",0.869,3.45,Y,19.23,0.021,2.02,1991-01-19,0
"152561 (1991 RB)",0.748,19.58,Y,19.10,0.0384,2.16,1977-08-19,0
"152563 (1992 BF)",0.661,7.25,N,19.71,0.0634,1.15,1953-01-10,0
"152564 (1992 HF)",0.610,13.32,N,19.63,0.121,2.17,1992-04-24,0
"152575 (1994 GY)",1.266,12.35,N,17.10,0.262,4.09,1994-04-14,0
"152637 (1997 NC1)",0.685,16.72,Y,17.87,0.0179,1.05,1997-07-05,0
"152664 (1998 FW4)",0.721,3.42,Y,19.68,0.0151,4.33,1994-03-09,0
"152667 (1998 FR11)",0.824,6.67,N,16.42,0.0643,4.79,1956-03-10,0
"152671 (1998 HL3)",0.716,2.68,Y,20.24,0.0453,1.54,1998-04-21,0
"152679 (1998 KU2)",1.008,4.93,N,16.67,0.0602,3.49,1971-10-21,0
"152680 (1998 KJ9)",0.522,10.93,Y,19.50,0.0057,2.37,1990-01-01,0
"152685 (1998 MZ)",0.575,0.15,Y,19.34,0.00158,2.12,1998-06-18,0
"152742 (1998 XE12)",0.229,13.43,N,19.10,0.112,1.53,1995-11-30,0
"152754 (1999 GS6)",0.599,2.02,Y,19.31,0.0189,1.78,1999-04-15,0
"152756 (1999 JV3)",0.849,15.23,N,18.99,0.0665,2.05,1978-04-12,0
"152770 (1999 RR28)",0.650,7.14,Y,18.41,0.0161,3.11,1987-04-20,0
"152787 (1999 TB10)",1.048,15.95,N,18.61,0.0992,1.68,1999-10-07,0
"152828 (1999 VT25)",0.554,5.15,Y,21.27,0.0483,1.77,1999-11-12,0
"152889 (2000 CF59)",0.603,41.55,N,16.53,0.315,2.76,1998-02-24,0
"152895 (2000 CQ101)",1.155,2.97,N,18.17,0.153,3.42,1955-03-14,0
"152931 (2000 EA107)",0.506,28.58,N,16.34,0.16,1.35,2000-03-15,0
"152941 (2000 FM10)",0.473,8.73,N,17.62,0.127,2.49,2000-03-30,0
"152942 (2000 FN10)",1.052,27.08,N,16.74,0.182,2.82,2000-03-30,0
"152952 (2000 GC2)",1.125,55.29,N,17.57,0.28,1.64,1992-03-26,0
"152964 (2000 GP82)",0.847,13.23,N,17.80,0.0902,1.95,1995-04-23,0
"152978 (2000 GJ147)",0.887,25.01,Y,19.57,0.0239,1.44,2000-04-13,0
"153002 (2000 JG5)",0.273,31.43,Y,18.28,0.0284,2.41,2000-05-02,0
"153195 (2000 WB1)",0.496,41.11,N,17.51,0.0909,2.11,2000-11-16,0
"153201 (2000 WO107)",0.200,7.77,Y,19.30,0.00292,1.62,2000-11-29,0
"153219 (2000 YM29)",1.179,40.33,N,18.54,0.196,3.00,2000-12-24,0
"153220 (2000 YN29)",0.843,6.23,Y,17.41,0.0313,4.24,1997-06-08,0
"153243 (2001 AU47)",0.610,35.97,N,17.50,0.4,1.99,2001-01-15,0
"153249 (2001 BW15)",0.867,41.24,N,15.57,0.0581,3.37,1989-08-28,0
"153267 (2001 CB32)",0.688,9.68,N,17.86,0.119,2.88,1994-01-16,0
"153271 (2001 CL42)",0.930,21.65,N,17.41,0.192,2.18,2001-02-15,0
"153306 (2001 JL1)",1.217,26.98,N,16.79,0.508,3.89,1993-06-13,0
"153311 (2001 MG1)",0.886,28.40,Y,17.40,0.0384,4.12,1989-07-01,0
"153315 (2001 NH6)",0.681,34.70,N,19.55,0.0996,1.79,2001-07-10,0
"153349 (2001 PJ9)",0.651,10.55,N,18.65,0.0512,2.95,2001-08-05,0
"153415 (2001 QP153)",0.701,50.21,N,17.01,0.0727,1.08,1996-08-14,0
"153460 (2001 RN)",0.592,10.09,N,19.71,0.14,2.24,2001-09-07,0
"153591 (2001 SN263)",1.034,6.69,Y,17.11,0.0493,2.94,1990-09-25,0
"153792 (2001 VH75)",0.540,10.48,N,18.16,0.0573,3.66,2001-11-12,0
"153814 (2001 WN5)",0.912,1.92,Y,18.29,0.0015,2.51,1996-02-10,0
"153842 (2001 XT30)",1.192,9.00,N,16.70,0.21,4.31,2000-05-05,0
"153951 (2002 AC3)",1.209,15.46,N,18.75,0.252,2.46,2001-12-23,0
